file,line,value,context,classification
code/controlled_stress.py,20,1.03,"for multiplier in (1.00, 1.01, 1.02, 1.03, 1.05):",solver/physics/index; inspect context
code/controlled_stress.py,20,1.05,"for multiplier in (1.00, 1.01, 1.02, 1.03, 1.05):",solver/physics/index; inspect context
code/controlled_stress.py,39,2,"target.write_text(json.dumps(output, ensure_ascii=False, indent=2), encoding=""utf-8"")",solver/physics/index; inspect context
code/controlled_stress.py,40,2,"print(json.dumps(output, ensure_ascii=False, indent=2))",solver/physics/index; inspect context
code/controlled_stress.py,25,1,soc = 1 - energy / rated,solver/physics/index; inspect context
code/controlled_stress.py,24,1,"rated = route[""energy_kwh""] / (1 - route[""soc""])",solver/physics/index; inspect context
code/controlled_stress.py,28,1e-08,"failures = [row[""route""] for row in rows if row[""reserve_margin_kwh""] < -1e-8]",solver/physics/index; inspect context
code/controlled_stress.py,36,1e-08,"uncertified_intervals=sum(x < -1e-8 for x in margins),",solver/physics/index; inspect context
code/figure_raw_inputs.py,14,1,ROOT = Path(__file__).resolve().parents[1],path/bootstrap
code/figure_raw_inputs.py,16,9,"plt.rcParams.update({""font.family"": ""PingFang SC"", ""font.size"": 9,",solver/physics/index; inspect context
code/figure_raw_inputs.py,37,1,"(hard if row[2] == ""医疗物资"" or row[5] == ""是"" else soft)[row[1]] += 1",solver/physics/index; inspect context
code/figure_raw_inputs.py,70,0,"ax.set_ylim(0, max(values) * 1.15)",solver/physics/index; inspect context
code/figure_raw_inputs.py,87,0,"ax.set_ylim(0, max(values) * 1.2)",solver/physics/index; inspect context
code/figure_raw_inputs.py,29,300,"dpi=300, size_inches=size, grayscale_preview=False, tight=False)",solver/physics/index; inspect context
code/figure_raw_inputs.py,34,1,"boxes = rows(""物资需求与配送时限"", ""逐箱货箱清单"")[1:]",solver/physics/index; inspect context
code/figure_raw_inputs.py,45,2,"ax.legend(frameon=False, ncol=2, loc=""upper right"")",solver/physics/index; inspect context
code/figure_raw_inputs.py,46,0.2,"ax.grid(axis=""y"", alpha=0.2)",solver/physics/index; inspect context
code/figure_raw_inputs.py,47,45,"ax.tick_params(axis=""x"", labelrotation=45)",solver/physics/index; inspect context
code/figure_raw_inputs.py,48,7.2,"export(fig, ""raw_q2_box_deadline_mix"", (7.2, 3.6))",solver/physics/index; inspect context
code/figure_raw_inputs.py,48,3.6,"export(fig, ""raw_q2_box_deadline_mix"", (7.2, 3.6))",solver/physics/index; inspect context
code/figure_raw_inputs.py,53,4,"sensor, fade, system = data[5][4], data[6][4], data[3][4]",solver/physics/index; inspect context
code/figure_raw_inputs.py,53,4,"sensor, fade, system = data[5][4], data[6][4], data[3][4]",solver/physics/index; inspect context
code/figure_raw_inputs.py,53,4,"sensor, fade, system = data[5][4], data[6][4], data[3][4]",solver/physics/index; inspect context
code/figure_raw_inputs.py,70,1.15,"ax.set_ylim(0, max(values) * 1.15)",solver/physics/index; inspect context
code/figure_raw_inputs.py,72,0.2,"ax.grid(axis=""y"", alpha=0.2)",solver/physics/index; inspect context
code/figure_raw_inputs.py,73,5.8,"export(fig, ""raw_q3_link_budgets"", (5.8, 3.2))",solver/physics/index; inspect context
code/figure_raw_inputs.py,73,3.2,"export(fig, ""raw_q3_link_budgets"", (5.8, 3.2))",solver/physics/index; inspect context
code/figure_raw_inputs.py,81,1,"values += [transport[i][1] for i in range(19, 22)]",solver/physics/index; inspect context
code/figure_raw_inputs.py,82,1,"values += [len(relay[6:8]), relay[11][1]]",solver/physics/index; inspect context
code/figure_raw_inputs.py,87,1.2,"ax.set_ylim(0, max(values) * 1.2)",solver/physics/index; inspect context
code/figure_raw_inputs.py,89,0.2,"ax.grid(axis=""y"", alpha=0.2)",solver/physics/index; inspect context
code/figure_raw_inputs.py,90,6.2,"export(fig, ""raw_q4_initial_inventory"", (6.2, 3.3))",solver/physics/index; inspect context
code/figure_raw_inputs.py,90,3.3,"export(fig, ""raw_q4_initial_inventory"", (6.2, 3.3))",solver/physics/index; inspect context
code/figure_raw_inputs.py,37,1,"(hard if row[2] == ""医疗物资"" or row[5] == ""是"" else soft)[row[1]] += 1",solver/physics/index; inspect context
code/figure_raw_inputs.py,38,1,"labels = [f""S{i:03}"" for i in range(1, 16)]",solver/physics/index; inspect context
code/figure_raw_inputs.py,38,16,"labels = [f""S{i:03}"" for i in range(1, 16)]",solver/physics/index; inspect context
code/figure_raw_inputs.py,39,7.2,"fig, ax = plt.subplots(figsize=(7.2, 3.6))",solver/physics/index; inspect context
code/figure_raw_inputs.py,39,3.6,"fig, ax = plt.subplots(figsize=(7.2, 3.6))",solver/physics/index; inspect context
code/figure_raw_inputs.py,53,5,"sensor, fade, system = data[5][4], data[6][4], data[3][4]",solver/physics/index; inspect context
code/figure_raw_inputs.py,53,6,"sensor, fade, system = data[5][4], data[6][4], data[3][4]",solver/physics/index; inspect context
code/figure_raw_inputs.py,53,3,"sensor, fade, system = data[5][4], data[6][4], data[3][4]",solver/physics/index; inspect context
code/figure_raw_inputs.py,54,4,"transmit = {""transport"": (data[7][4], data[8][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,54,4,"transmit = {""transport"": (data[7][4], data[8][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,55,4,"""access"": (data[9][4], data[10][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,55,4,"""access"": (data[9][4], data[10][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,56,4,"""backhaul"": (data[11][4], data[12][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,56,4,"""backhaul"": (data[11][4], data[12][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,57,4,"""gateway"": (data[13][4], data[14][4])}",solver/physics/index; inspect context
code/figure_raw_inputs.py,57,4,"""gateway"": (data[13][4], data[14][4])}",solver/physics/index; inspect context
code/figure_raw_inputs.py,66,5.8,"fig, ax = plt.subplots(figsize=(5.8, 3.2))",solver/physics/index; inspect context
code/figure_raw_inputs.py,66,3.2,"fig, ax = plt.subplots(figsize=(5.8, 3.2))",solver/physics/index; inspect context
code/figure_raw_inputs.py,67,0,"bars = ax.bar([x[0] for x in groups], values, color=[""#315E9D"", ""#CE853D"", ""#69549A""])",solver/physics/index; inspect context
code/figure_raw_inputs.py,69,0.5,"ax.text(bar.get_x() + bar.get_width()/2, value + 0.5, f""{value:.0f}"", ha=""center"")",solver/physics/index; inspect context
code/figure_raw_inputs.py,81,19,"values += [transport[i][1] for i in range(19, 22)]",solver/physics/index; inspect context
code/figure_raw_inputs.py,81,22,"values += [transport[i][1] for i in range(19, 22)]",solver/physics/index; inspect context
code/figure_raw_inputs.py,82,11,"values += [len(relay[6:8]), relay[11][1]]",solver/physics/index; inspect context
code/figure_raw_inputs.py,83,6.2,"fig, ax = plt.subplots(figsize=(6.2, 3.3))",solver/physics/index; inspect context
code/figure_raw_inputs.py,83,3.3,"fig, ax = plt.subplots(figsize=(6.2, 3.3))",solver/physics/index; inspect context
code/figure_raw_inputs.py,86,0.1,"ax.text(bar.get_x() + bar.get_width()/2, value + 0.1, str(value), ha=""center"")",solver/physics/index; inspect context
code/figure_raw_inputs.py,54,7,"transmit = {""transport"": (data[7][4], data[8][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,54,8,"transmit = {""transport"": (data[7][4], data[8][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,55,9,"""access"": (data[9][4], data[10][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,55,10,"""access"": (data[9][4], data[10][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,56,11,"""backhaul"": (data[11][4], data[12][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,56,12,"""backhaul"": (data[11][4], data[12][4]),",solver/physics/index; inspect context
code/figure_raw_inputs.py,57,13,"""gateway"": (data[13][4], data[14][4])}",solver/physics/index; inspect context
code/figure_raw_inputs.py,57,14,"""gateway"": (data[13][4], data[14][4])}",solver/physics/index; inspect context
code/figure_raw_inputs.py,69,2,"ax.text(bar.get_x() + bar.get_width()/2, value + 0.5, f""{value:.0f}"", ha=""center"")",solver/physics/index; inspect context
code/figure_raw_inputs.py,82,6,"values += [len(relay[6:8]), relay[11][1]]",solver/physics/index; inspect context
code/figure_raw_inputs.py,82,8,"values += [len(relay[6:8]), relay[11][1]]",solver/physics/index; inspect context
code/figure_raw_inputs.py,84,2,"bars = ax.bar(labels, values, color=[""#315E9D""]*3 + [""#CE853D""]*3 + [""#69549A""]*2)",solver/physics/index; inspect context
code/figure_raw_inputs.py,86,2,"ax.text(bar.get_x() + bar.get_width()/2, value + 0.1, str(value), ha=""center"")",solver/physics/index; inspect context
code/figure_raw_inputs.py,80,1,"values = [sum(row[1] == g for row in transport[8:16]) for g in ""ABC""]",solver/physics/index; inspect context
code/figure_raw_inputs.py,84,3,"bars = ax.bar(labels, values, color=[""#315E9D""]*3 + [""#CE853D""]*3 + [""#69549A""]*2)",solver/physics/index; inspect context
code/figure_raw_inputs.py,84,3,"bars = ax.bar(labels, values, color=[""#315E9D""]*3 + [""#CE853D""]*3 + [""#69549A""]*2)",solver/physics/index; inspect context
code/figure_raw_inputs.py,37,2,"(hard if row[2] == ""医疗物资"" or row[5] == ""是"" else soft)[row[1]] += 1",solver/physics/index; inspect context
code/figure_raw_inputs.py,37,5,"(hard if row[2] == ""医疗物资"" or row[5] == ""是"" else soft)[row[1]] += 1",solver/physics/index; inspect context
code/figure_raw_inputs.py,80,8,"values = [sum(row[1] == g for row in transport[8:16]) for g in ""ABC""]",solver/physics/index; inspect context
code/figure_raw_inputs.py,80,16,"values = [sum(row[1] == g for row in transport[8:16]) for g in ""ABC""]",solver/physics/index; inspect context
code/figure_raw_inputs.py,64,1,"values.append(min(first[0] + first[1] + second[1],",solver/physics/index; inspect context
code/figure_raw_inputs.py,65,1,second[0] + second[1] + first[1]) - sensor - fade - system),solver/physics/index; inspect context
code/figure_raw_inputs.py,64,0,"values.append(min(first[0] + first[1] + second[1],",solver/physics/index; inspect context
code/figure_raw_inputs.py,64,1,"values.append(min(first[0] + first[1] + second[1],",solver/physics/index; inspect context
code/figure_raw_inputs.py,65,0,second[0] + second[1] + first[1]) - sensor - fade - system),solver/physics/index; inspect context
code/figure_raw_inputs.py,65,1,second[0] + second[1] + first[1]) - sensor - fade - system),solver/physics/index; inspect context
code/generate_paper_tables.py,15,1,ROOT = Path(__file__).resolve().parents[1],path/bootstrap
code/generate_paper_tables.py,85,1,"for node in range(1, 16):",solver/physics/index; inspect context
code/generate_paper_tables.py,85,16,"for node in range(1, 16):",solver/physics/index; inspect context
code/generate_paper_tables.py,104,1e-06,"assert abs(max(q2_delivery.values()) - q2[""summary""][""last_delivery""]) < 1e-6",solver/physics/index; inspect context
code/generate_paper_tables.py,106,1,"for node in range(1, 16):",solver/physics/index; inspect context
code/generate_paper_tables.py,106,16,"for node in range(1, 16):",solver/physics/index; inspect context
code/generate_paper_tables.py,219,1,"for number, group in enumerate(q4[""schemes""][k][""selected""][""groups""], 1):",solver/physics/index; inspect context
code/generate_paper_tables.py,290,0,"assert m[""hard_violations""] == 0",solver/physics/index; inspect context
code/generate_paper_tables.py,47,60,"return f""{seconds / 60:.2f}""",solver/physics/index; inspect context
code/generate_paper_tables.py,287,12,assert len(trials) == 12 and len(passed) == 12,solver/physics/index; inspect context
code/generate_paper_tables.py,287,12,assert len(trials) == 12 and len(passed) == 12,solver/physics/index; inspect context
code/generate_paper_tables.py,291,0,"zero_late = sum(t[""metrics""][""weighted_tardiness""] == 0 for t in passed)",solver/physics/index; inspect context
code/generate_paper_tables.py,73,60,"f""{stat['makespan']['mean']/60:.2f}$\\pm${stat['makespan']['std']/60:.2f} & """,solver/physics/index; inspect context
code/generate_paper_tables.py,73,60,"f""{stat['makespan']['mean']/60:.2f}$\\pm${stat['makespan']['std']/60:.2f} & """,solver/physics/index; inspect context
code/generate_paper_tables.py,136,100,"f""{route['energy']:.3f} & {100 * route['soc']:.2f}""",solver/physics/index; inspect context
code/generate_paper_tables.py,158,100,"f""{minutes(relay['end'])} & {relay['energy']:.3f} & {100 * relay['soc']:.2f}""",solver/physics/index; inspect context
code/generate_paper_tables.py,262,100,"f""{name} & {row['horizontal_multiplier']:.2f} & {row['min_soc']*100:.2f} & """,solver/physics/index; inspect context
code/generate_paper_tables.py,223,3600,"f""{len(group['transport_ids'])} & {group['work'] / 3600:.2f}""",solver/physics/index; inspect context
code/independent_solution_audit.py,24,1e-06,EPS = 1e-6,solver/physics/index; inspect context
code/independent_solution_audit.py,20,1,ROOT = Path(__file__).resolve().parents[1],path/bootstrap
code/independent_solution_audit.py,188,0.0,energy_total = time_total = 0.0,solver/physics/index; inspect context
code/independent_solution_audit.py,355,0.0,tardiness = 0.0,solver/physics/index; inspect context
code/independent_solution_audit.py,493,0.1,"def dense_tightest(raw: Raw, data: dict, segments: dict, time_step: float = 0.1,",solver/physics/index; inspect context
code/independent_solution_audit.py,494,1.0,sight_step_m: float = 1.0) -> dict:,solver/physics/index; inspect context
code/independent_solution_audit.py,139,1.0,safety: float = 1.0) -> float:,solver/physics/index; inspect context
code/independent_solution_audit.py,236,45,"if len(data[""capacities""]) != 45:",solver/physics/index; inspect context
code/independent_solution_audit.py,249,1e-06,"close(energy_total, data[""summary""][""energy""], ""Q1 total energy"", errors, 1e-6)",solver/physics/index; inspect context
code/independent_solution_audit.py,250,1e-06,"close(time_total, data[""summary""][""time""], ""Q1 total duration"", errors, 1e-6)",solver/physics/index; inspect context
code/independent_solution_audit.py,286,0.0,horizontal = climb = 0.0,solver/physics/index; inspect context
code/independent_solution_audit.py,372,1e-06,"(sum(r[""energy""] for r in data.get(""relays"", []))), summary[""energy""], f""{name} total energy"", errors, 1e-6)",solver/physics/index; inspect context
code/independent_solution_audit.py,505,0,"minimum, worst_time, obstruction_count = math.inf, None, 0",solver/physics/index; inspect context
code/independent_solution_audit.py,558,0,"return 0 if output[""status""] == ""PASS"" else 1",solver/physics/index; inspect context
code/independent_solution_audit.py,558,1,"return 0 if output[""status""] == ""PASS"" else 1",solver/physics/index; inspect context
code/independent_solution_audit.py,49,50,"fixed_conventions = {""terrain_clearance_m"": 50, ""service_height_m"": 30,",solver/physics/index; inspect context
code/independent_solution_audit.py,49,30,"fixed_conventions = {""terrain_clearance_m"": 50, ""service_height_m"": 30,",solver/physics/index; inspect context
code/independent_solution_audit.py,50,9.81,"""gravity_m_s2"": 9.81, ""charge_soc_break"": 0.9,",solver/physics/index; inspect context
code/independent_solution_audit.py,50,0.9,"""gravity_m_s2"": 9.81, ""charge_soc_break"": 0.9,",solver/physics/index; inspect context
code/independent_solution_audit.py,51,0.65,"""charge_first_stage_fraction"": 0.65,",solver/physics/index; inspect context
code/independent_solution_audit.py,52,0.35,"""charge_second_stage_fraction"": 0.35, ""initial_soc"": 1.0}",solver/physics/index; inspect context
code/independent_solution_audit.py,52,1.0,"""charge_second_stage_fraction"": 0.35, ""initial_soc"": 1.0}",solver/physics/index; inspect context
code/independent_solution_audit.py,56,1.0002,"if optimization[""communication_certificate""][""distance_safety_factor""] != 1.0002:",solver/physics/index; inspect context
code/independent_solution_audit.py,109,0.0,"cuts = [0.0, 1.0]",solver/physics/index; inspect context
code/independent_solution_audit.py,109,1.0,"cuts = [0.0, 1.0]",solver/physics/index; inspect context
code/independent_solution_audit.py,115,2,mids = (cuts[:-1] + cuts[1:]) / 2,solver/physics/index; inspect context
code/independent_solution_audit.py,136,2,"return GEOD.inv(a[0], a[1], b[0], b[1])[2]",solver/physics/index; inspect context
code/independent_solution_audit.py,140,1000,"d = math.hypot(self.distance(a, b) * safety, b[2] - a[2]) / 1000",solver/physics/index; inspect context
code/independent_solution_audit.py,148,1e-14,if abs(np.linalg.det(matrix)) < 1e-14:,solver/physics/index; inspect context
code/independent_solution_audit.py,177,0.9,return full_charge * (0.65 * (0.9 - soc) / 0.9 + 0.35) if soc < 0.9 else full_charge * 0.35 * (1 - soc) / 0.1,solver/physics/index; inspect context
code/independent_solution_audit.py,177,0.1,return full_charge * (0.65 * (0.9 - soc) / 0.9 + 0.35) if soc < 0.9 else full_charge * 0.35 * (1 - soc) / 0.1,solver/physics/index; inspect context
code/independent_solution_audit.py,213,1,"if len(route[""order""]) != 1:",solver/physics/index; inspect context
code/independent_solution_audit.py,216,0,"node = route[""order""][0]",solver/physics/index; inspect context
code/independent_solution_audit.py,227,1e-07,"close(energy, route[""energy""], f""Q1 S{node:03} energy"", errors, 1e-7)",solver/physics/index; inspect context
code/independent_solution_audit.py,241,0.0,"low, high = 0.0, aircraft[""Q""]",solver/physics/index; inspect context
code/independent_solution_audit.py,242,55,for _ in range(55):,solver/physics/index; inspect context
code/independent_solution_audit.py,248,1e-05,"close(low, entry[""maxload""], f""Q1 S{node:03} {kind} safe capacity"", errors, 1e-5)",solver/physics/index; inspect context
code/independent_solution_audit.py,285,0,"remaining, previous = payload, 0",solver/physics/index; inspect context
code/independent_solution_audit.py,288,0,"for node in [*order, 0]:",solver/physics/index; inspect context
code/independent_solution_audit.py,314,1,"soc = 1 - energy / aircraft[""E""]",solver/physics/index; inspect context
code/independent_solution_audit.py,315,1e-07,"close(energy, route[""energy""], f""{ident} energy"", errors, 1e-7)",solver/physics/index; inspect context
code/independent_solution_audit.py,316,1e-07,"close(soc, route[""soc""], f""{ident} SOC"", errors, 1e-7)",solver/physics/index; inspect context
code/independent_solution_audit.py,389,2,"origin = [raw.nodes[0][2], raw.nodes[0][3], raw.nodes[0][4]]",solver/physics/index; inspect context
code/independent_solution_audit.py,389,3,"origin = [raw.nodes[0][2], raw.nodes[0][3], raw.nodes[0][4]]",solver/physics/index; inspect context
code/independent_solution_audit.py,389,4,"origin = [raw.nodes[0][2], raw.nodes[0][3], raw.nodes[0][4]]",solver/physics/index; inspect context
code/independent_solution_audit.py,404,1,"soc = 1 - energy / t[""E""]",solver/physics/index; inspect context
code/independent_solution_audit.py,405,1e-06,"close(energy, r[""energy""], f""{ident} energy"", errors, 1e-6)",solver/physics/index; inspect context
code/independent_solution_audit.py,406,1e-06,"close(soc, r[""soc""], f""{ident} SOC"", errors, 1e-6)",solver/physics/index; inspect context
code/independent_solution_audit.py,479,1,methods[method] += 1,solver/physics/index; inspect context
code/independent_solution_audit.py,504,1,"math.ceil((record[""end""] - record[""start""]) / time_step) + 1)",solver/physics/index; inspect context
code/independent_solution_audit.py,510,1,"steps = max(1, math.ceil(d / sight_step_m))",solver/physics/index; inspect context
code/independent_solution_audit.py,511,0,"fractions = np.linspace(0, 1, steps + 1)",solver/physics/index; inspect context
code/independent_solution_audit.py,511,1,"fractions = np.linspace(0, 1, steps + 1)",solver/physics/index; inspect context
code/independent_solution_audit.py,533,80,"if len(raw.boxes) != 80 or sum(b[""mass""] for b in raw.boxes) != 758:",solver/physics/index; inspect context
code/independent_solution_audit.py,533,758,"if len(raw.boxes) != 80 or sum(b[""mass""] for b in raw.boxes) != 758:",solver/physics/index; inspect context
code/independent_solution_audit.py,59,2,"self.nodes = [rows[2], *rows[6:21]]",solver/physics/index; inspect context
code/independent_solution_audit.py,60,0,"self.node_ids = {row[0]: i for i, row in enumerate(self.nodes)}",solver/physics/index; inspect context
code/independent_solution_audit.py,64,0,"self.types = {r[0]: dict(zip(names, r)) for r in transport[2:5]}",solver/physics/index; inspect context
code/independent_solution_audit.py,66,19,for r in transport[19:22]:,solver/physics/index; inspect context
code/independent_solution_audit.py,66,22,for r in transport[19:22]:,solver/physics/index; inspect context
code/independent_solution_audit.py,69,1,"for row in sheet(""物资需求与配送时限"", ""逐箱货箱清单"")[1:]:",solver/physics/index; inspect context
code/independent_solution_audit.py,97,1,self.dem = source.read(1),solver/physics/index; inspect context
code/independent_solution_audit.py,99,2,"self.gateway = [self.nodes[0][2], self.nodes[0][3],",solver/physics/index; inspect context
code/independent_solution_audit.py,99,3,"self.gateway = [self.nodes[0][2], self.nodes[0][3],",solver/physics/index; inspect context
code/independent_solution_audit.py,107,0,"ac, ar = self.pixel(a[0], a[1])",solver/physics/index; inspect context
code/independent_solution_audit.py,107,1,"ac, ar = self.pixel(a[0], a[1])",solver/physics/index; inspect context
code/independent_solution_audit.py,108,0,"bc, br = self.pixel(b[0], b[1])",solver/physics/index; inspect context
code/independent_solution_audit.py,108,1,"bc, br = self.pixel(b[0], b[1])",solver/physics/index; inspect context
code/independent_solution_audit.py,111,1e-14,if abs(end - start) > 1e-14:,solver/physics/index; inspect context
code/independent_solution_audit.py,114,0,"cuts = np.unique(np.clip(cuts, 0, 1))",solver/physics/index; inspect context
code/independent_solution_audit.py,114,1,"cuts = np.unique(np.clip(cuts, 0, 1))",solver/physics/index; inspect context
code/independent_solution_audit.py,126,0,"c, r = self.pixel(a[0], a[1])",solver/physics/index; inspect context
code/independent_solution_audit.py,126,1,"c, r = self.pixel(a[0], a[1])",solver/physics/index; inspect context
code/independent_solution_audit.py,141,32.45,"fspl = 32.45 + 20 * math.log10(self.radio[""frequency""]) + 20 * math.log10(max(d, 1e-6))",solver/physics/index; inspect context
code/independent_solution_audit.py,141,20,"fspl = 32.45 + 20 * math.log10(self.radio[""frequency""]) + 20 * math.log10(max(d, 1e-6))",solver/physics/index; inspect context
code/independent_solution_audit.py,142,0,"return self.radio[kind] - fspl - (self.radio[""obstruction""] if blocked else 0)",solver/physics/index; inspect context
code/independent_solution_audit.py,149,1e-12,if np.linalg.norm(xy[0] - xy[1]) < 1e-12:,solver/physics/index; inspect context
code/independent_solution_audit.py,155,0,"c0, c1 = max(0, math.floor(min(columns)) - 1), min(self.dem.shape[1], math.ceil(max(columns)) + 1)",solver/physics/index; inspect context
code/independent_solution_audit.py,156,0,"r0, r1 = max(0, math.floor(min(rows)) - 1), min(self.dem.shape[0], math.ceil(max(rows)) + 1)",solver/physics/index; inspect context
code/independent_solution_audit.py,177,0.35,return full_charge * (0.65 * (0.9 - soc) / 0.9 + 0.35) if soc < 0.9 else full_charge * 0.35 * (1 - soc) / 0.1,solver/physics/index; inspect context
code/independent_solution_audit.py,192,0,"origin, target = raw.nodes[0], raw.nodes[node]",solver/physics/index; inspect context
code/independent_solution_audit.py,193,2,"outward_a = [origin[2], origin[3], origin[4]]",solver/physics/index; inspect context
code/independent_solution_audit.py,193,3,"outward_a = [origin[2], origin[3], origin[4]]",solver/physics/index; inspect context
code/independent_solution_audit.py,193,4,"outward_a = [origin[2], origin[3], origin[4]]",solver/physics/index; inspect context
code/independent_solution_audit.py,194,2,"outward_b = [target[2], target[3], target[4] + 30]",solver/physics/index; inspect context
code/independent_solution_audit.py,194,3,"outward_b = [target[2], target[3], target[4] + 30]",solver/physics/index; inspect context
code/independent_solution_audit.py,194,30,"outward_b = [target[2], target[3], target[4] + 30]",solver/physics/index; inspect context
code/independent_solution_audit.py,195,50,"outward_h = max(raw.top(outward_a, outward_b) + 50, outward_a[2], outward_b[2])",solver/physics/index; inspect context
code/independent_solution_audit.py,195,2,"outward_h = max(raw.top(outward_a, outward_b) + 50, outward_a[2], outward_b[2])",solver/physics/index; inspect context
code/independent_solution_audit.py,195,2,"outward_h = max(raw.top(outward_a, outward_b) + 50, outward_a[2], outward_b[2])",solver/physics/index; inspect context
code/independent_solution_audit.py,202,0,"energy = leg_energy(payload, outward_a[2], outward_h) + leg_energy(0, outward_b[2], backward_h)",solver/physics/index; inspect context
code/independent_solution_audit.py,209,1,"return energy, time, 1 - energy / aircraft[""E""]",solver/physics/index; inspect context
code/independent_solution_audit.py,243,2,mid = (low + high) / 2,solver/physics/index; inspect context
code/independent_solution_audit.py,389,0,"origin = [raw.nodes[0][2], raw.nodes[0][3], raw.nodes[0][4]]",solver/physics/index; inspect context
code/independent_solution_audit.py,389,0,"origin = [raw.nodes[0][2], raw.nodes[0][3], raw.nodes[0][4]]",solver/physics/index; inspect context
code/independent_solution_audit.py,389,0,"origin = [raw.nodes[0][2], raw.nodes[0][3], raw.nodes[0][4]]",solver/physics/index; inspect context
code/independent_solution_audit.py,392,50,"max_height = max(raw.top(origin, point) + 50, point[2])",solver/physics/index; inspect context
code/independent_solution_audit.py,392,2,"max_height = max(raw.top(origin, point) + 50, point[2])",solver/physics/index; inspect context
code/independent_solution_audit.py,403,3600,"(t[""hover_power""] + t[""comm_power""]) / 3600)",solver/physics/index; inspect context
code/independent_solution_audit.py,446,1,if len(matches) != 1:,solver/physics/index; inspect context
code/independent_solution_audit.py,449,0,"segment, a, b = matches[0]",solver/physics/index; inspect context
code/independent_solution_audit.py,511,1,"fractions = np.linspace(0, 1, steps + 1)",solver/physics/index; inspect context
code/independent_solution_audit.py,512,0,longitude = point[0] + fractions * (fixed[0] - point[0]),solver/physics/index; inspect context
code/independent_solution_audit.py,513,1,latitude = point[1] + fractions * (fixed[1] - point[1]),solver/physics/index; inspect context
code/independent_solution_audit.py,518,2,sight_height = point[2] + fractions * (fixed[2] - point[2]),solver/physics/index; inspect context
code/independent_solution_audit.py,554,2,"OUT.write_text(json.dumps(output, ensure_ascii=False, indent=2), encoding=""utf-8"")",solver/physics/index; inspect context
