parameter_name,math_symbol,python_variable,current_value,unit,original_source,using_files,using_questions,paper_location
S011.z,z_i,Model.nodes[S011].z,182.1,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S012.lon,\lambda_i,Model.nodes[S012].lon,109.2831357,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S012.lat,\phi_i,Model.nodes[S012].lat,23.054464,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S012.z,z_i,Model.nodes[S012].z,249.8,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S013.lon,\lambda_i,Model.nodes[S013].lon,109.2713839,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S013.lat,\phi_i,Model.nodes[S013].lat,23.0310882,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S013.z,z_i,Model.nodes[S013].z,321.7,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S014.lon,\lambda_i,Model.nodes[S014].lon,109.2835966,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S014.lat,\phi_i,Model.nodes[S014].lat,23.0052097,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S014.z,z_i,Model.nodes[S014].z,321,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S015.lon,\lambda_i,Model.nodes[S015].lon,109.1923786,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S015.lat,\phi_i,Model.nodes[S015].lat,23.0494548,°,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
S015.z,z_i,Model.nodes[S015].z,444.5,m,input/调度中心与服务区.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/figure/spatial.py,Q1-Q4,§数据处理与统一物理规则
A.mass,m_g,Model.types[A][mass],70,kg,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.Q,Q_g,Model.types[A][Q],25,kg,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.V,V_g,Model.types[A][V],0.06,m³,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.vc,v_g^c,Model.types[A][vc],12,m/s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.L0,L_g^0,Model.types[A][L0],25000,m,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.LF,L_g^F,Model.types[A][LF],20000,m,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.E,E_g^use,Model.types[A][E],4.5,kWh,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.rho,ρ_g,Model.types[A][rho],20,%,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.prep,t_g^prep,Model.types[A][prep],300,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.load,t_g^load,Model.types[A][load],30,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.handoff,t_g^handoff,Model.types[A][handoff],150,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.perbox,t_g^box,Model.types[A][perbox],30,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.vu,v_g^↑,Model.types[A][vu],3,m/s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.vd,v_g^↓,Model.types[A][vd],2.5,m/s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.eta,η_g,Model.types[A][eta],0.72,1,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.downeta,η_g^↓,Model.types[A][downeta],0,1,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.batteries,B_g,Model.types[A][batteries],6,组,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.charge,T_g^charge,Model.types[A][charge],1800,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
A.units,N_g,len(Model.units[A]),4,架,input/运输无人机数据.xlsx,code/mountain_flood/problem2/search.py;code/mountain_flood/problem4/partition.py,Q2-Q4,§数据处理；§问题四
B.mass,m_g,Model.types[B][mass],65,kg,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.Q,Q_g,Model.types[B][Q],30,kg,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.V,V_g,Model.types[B][V],0.073,m³,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.vc,v_g^c,Model.types[B][vc],15,m/s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.L0,L_g^0,Model.types[B][L0],28000,m,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.LF,L_g^F,Model.types[B][LF],16000,m,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.E,E_g^use,Model.types[B][E],4,kWh,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.rho,ρ_g,Model.types[B][rho],20,%,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.prep,t_g^prep,Model.types[B][prep],300,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.load,t_g^load,Model.types[B][load],30,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.handoff,t_g^handoff,Model.types[B][handoff],150,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.perbox,t_g^box,Model.types[B][perbox],30,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.vu,v_g^↑,Model.types[B][vu],3,m/s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.vd,v_g^↓,Model.types[B][vd],2.5,m/s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.eta,η_g,Model.types[B][eta],0.72,1,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.downeta,η_g^↓,Model.types[B][downeta],0,1,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.batteries,B_g,Model.types[B][batteries],4,组,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.charge,T_g^charge,Model.types[B][charge],2400,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
B.units,N_g,len(Model.units[B]),2,架,input/运输无人机数据.xlsx,code/mountain_flood/problem2/search.py;code/mountain_flood/problem4/partition.py,Q2-Q4,§数据处理；§问题四
C.mass,m_g,Model.types[C][mass],69.9,kg,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.Q,Q_g,Model.types[C][Q],80,kg,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.V,V_g,Model.types[C][V],0.25,m³,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.vc,v_g^c,Model.types[C][vc],15,m/s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.L0,L_g^0,Model.types[C][L0],26000,m,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.LF,L_g^F,Model.types[C][LF],12000,m,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.E,E_g^use,Model.types[C][E],8,kWh,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.rho,ρ_g,Model.types[C][rho],20,%,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.prep,t_g^prep,Model.types[C][prep],300,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.load,t_g^load,Model.types[C][load],30,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.handoff,t_g^handoff,Model.types[C][handoff],180,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.perbox,t_g^box,Model.types[C][perbox],36,s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.vu,v_g^↑,Model.types[C][vu],2.5,m/s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.vd,v_g^↓,Model.types[C][vd],2,m/s,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.eta,η_g,Model.types[C][eta],0.72,1,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.downeta,η_g^↓,Model.types[C][downeta],0,1,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
C.batteries,B_g,Model.types[C][batteries],4,组,input/运输无人机数据.xlsx,code/mountain_flood/core/domain.py;code/mountain_flood/validation/replay.py;code/mountain_flood/problem2/search.py;code/mountain_flood/problem3/schedule.py;code/mountain_flood/problem4/partition.py,Q1-Q4,§数据处理；§问题一至四
